movie_id,neighbor_movie_id,similarity_score
1452,6478,0.21442250696755896
1452,1788,0.19795189561622395
1452,13994,0.19131158091484032
10764,36557,0.3910371502940006
10764,36643,0.26507948099153394
10764,37724,0.24397501823713333
10764,11342,0.2268161771816387
10764,41513,0.210528725646512
10764,50647,0.19756519492339994
10764,11918,0.19639610121239315
10764,13967,0.19639610121239315
10764,985,0.1944611170656493
10764,14144,0.1930468356263361
58,22,0.7916666666666666
58,285,0.7664191894673176
58,57201,0.5590169943749476
58,1865,0.4948812053487256
58,808,0.36742346141747667
58,9342,0.3233808333817773
58,44896,0.2608745973749755
58,10501,0.22916666666666674
58,11551,0.22271770159368703
58,19585,0.2175970699446223
57201,58,0.5590169943749476
57201,22,0.4844813951249544
57201,285,0.4637247571636693
57201,1865,0.3849001794597505
57201,9342,0.3615507630310935
57201,808,0.3286335345030996
57201,44896,0.29999999999999993
57201,11551,0.25896619868911863
57201,10501,0.22360679774997896
57201,62213,0.196931590360844
49521,209112,0.580464557543441
49521,49026,0.4583011673997352
49521,155,0.4332948868044713
49521,1124,0.4296689244236598
49521,157336,0.4005963724010764
49521,27205,0.37397879600338285
49521,272,0.3514317480027574
49521,71676,0.32081182634096883
49521,77,0.3019405424385589
49521,36648,0.277968493747913
2454,411,0.666938942220868
2454,10140,0.39363661515662596
2454,94352,0.3800760228076026
2454,809,0.3555285645684319
2454,40769,0.2686866453119395
2454,79120,0.2381652558112334
2454,12,0.21876112704929176
2454,415,0.2186870084203477
2454,49529,0.20874143036171655
2454,49787,0.2044398826909146
24428,99861,0.628599937151554
24428,271110,0.4207580473429522
24428,100402,0.372741914953162
24428,118340,0.3645487844484219
24428,10138,0.340613657372866
24428,10195,0.325779182072302
24428,76338,0.3179279275494731
24428,11544,0.31400656319342335
24428,1726,0.3037906537070183
24428,68721,0.2525343242128887
1865,58,0.4948812053487256
1865,285,0.488901207038705
1865,22,0.4733646312031288
1865,57201,0.3849001794597505
1865,808,0.31622776601683794
1865,9342,0.2504897164340598
1865,762,0.2066434732926889
1865,19585,0.20225995873897265
1865,676,0.20225995873897262
1865,10628,0.1987615979999813
41154,608,0.4830458915396478
41154,607,0.30265312816681733
41154,267935,0.24720661623652213
41154,664,0.24444444444444446
41154,70435,0.24224069756247724
41154,11321,0.23918696011959545
41154,594,0.2366823156015644
41154,2359,0.22718473369882597
41154,1779,0.21764287503300353
41154,264656,0.2153250644999797
122917,57158,0.930397466301614
122917,49051,0.728813559322034
122917,254,0.5518061604005179
122917,1024,0.44870412052494657
122917,7980,0.44834250532542075
122917,122,0.4074787359804294
122917,121,0.40375739103654934
122917,120,0.40375739103654934
122917,14902,0.28464928777678566
122917,10622,0.26454413165729807
1930,102382,0.49441323247304403
1930,559,0.3763089045031909
1930,558,0.25
1930,1726,0.24450482346091287
1930,585,0.2417468892076141
1930,27995,0.23883257361061289
1930,68721,0.2345207879911715
1930,1979,0.22996655275194997
1930,99861,0.22996655275194997
1930,407887,0.22268088570756162
20662,12113,0.5285251583181322
20662,4982,0.4476368928928758
20662,109091,0.34557414197724023
20662,286217,0.34171285718813216
20662,147441,0.3379781783072063
20662,1495,0.3308620512686473
20662,70981,0.30151134457776363
20662,98,0.30099104851351716
20662,9476,0.2882999880625789
20662,4421,0.2804840970025372
57158,122917,0.930397466301614
57158,49051,0.702186767020086
57158,254,0.5893796917545017
57158,1024,0.4647342912165045
57158,7980,0.4643597571399105
57158,122,0.4403855060505442
57158,120,0.4181818181818182
57158,121,0.4181818181818182
57158,14902,0.315876986356996
57158,10622,0.2739950981002967
2268,2105,0.40857528153788336
2268,9310,0.39062145332563925
2268,8273,0.3619211759357432
2268,2770,0.33883707378584865
2268,1901,0.32497116510335355
2268,55720,0.31008683647302115
2268,16300,0.2815462531857365
2268,206647,0.28022426915890253
2268,245,0.2708093042527946
2268,8916,0.26296185307038883
254,57158,0.5893796917545017
254,49051,0.569050102913034
254,122917,0.5518061604005179
254,7980,0.49122807017543857
254,1024,0.4728121217763678
254,122,0.3965412516529751
254,120,0.3571998131845465
254,121,0.3571998131845465
254,10622,0.26914524410099555
254,14902,0.24822864113523635
597,19995,0.5925671037939075
597,36955,0.5208002272583306
597,280,0.4618911998152467
597,5925,0.3832197451674702
597,2756,0.3605588523471711
597,14275,0.3583638619256225
597,13510,0.3310423554409472
597,218500,0.3246137365805978
597,376010,0.3227718808918281
597,218,0.3215367596812404
271110,99861,0.5056958712892092
271110,100402,0.48377944684689683
271110,24428,0.4207580473429522
271110,1726,0.3656125345764392
271110,10138,0.36170212765957444
271110,68721,0.35068322372798977
271110,76338,0.3376118524547578
271110,102899,0.3300547988028139
271110,10195,0.25369608220794343
271110,118340,0.23657281649063713
44833,227156,0.1614429614050549
44833,10501,0.1597524126056735
44833,11519,0.1533929977694741
44833,642,0.1479019945774904
44833,65057,0.14659886790209342
44833,2687,0.14467284665112362
44833,9675,0.14301938838683886
44833,134371,0.14301938838683886
44833,3683,0.14171085778131032
44833,8960,0.1414213562373095
135397,640,0.2989569952312874
135397,11519,0.27739752054574096
135397,783,0.24781017679048262
135397,7450,0.24468622931507097
135397,329,0.24112141108520607
135397,1911,0.23240805359505928
135397,267935,0.22990024493585143
135397,13909,0.22874785549890703
135397,771,0.2261919333169829
135397,644,0.22619193331698284
37724,206647,0.5933661039639303
37724,57165,0.24999999999999997
37724,10764,0.24397501823713333
37724,2268,0.24119095530943302
37724,25,0.22587697572631282
37724,101173,0.22453655975512468
37724,2320,0.21740658913657607
37724,4147,0.19546750924338122
37724,700,0.1906925178491185
37724,36557,0.18856180831641267
558,559,0.6062754572551409
558,557,0.4828045495852674
558,1927,0.2642625791590661
558,41823,0.25604577824959457
558,99861,0.2508726030021272
558,1930,0.25
558,925,0.24370871833797697
558,68728,0.23836564731139814
558,766,0.22938001880319028
558,27995,0.22390553775994956
68721,1726,0.43788026951985703
68721,10138,0.4331969234286932
68721,99861,0.3922322702763681
68721,271110,0.35068322372798977
68721,1724,0.2857738033247041
68721,102899,0.28
68721,5236,0.271960041460034
68721,100402,0.25584085962673253
68721,24428,0.2525343242128887
68721,76338,0.24003967925959163
12155,62213,0.4706787243316417
12155,241259,0.469041575982343
12155,3933,0.407940062190051
12155,869,0.39617738670844205
12155,587,0.353380883439509
12155,118,0.3373096170846272
12155,62214,0.32827000172091686
12155,522,0.29514591494904874
12155,162,0.282842712474619
12155,75,0.26263966158357477
36668,127585,0.3864634590332682
36668,36657,0.3822396878512948
36668,36658,0.3234983196103152
36668,10030,0.2558139534883721
36668,1979,0.21147746721890678
36668,13363,0.2075242687882301
36668,61791,0.20459830184114206
36668,31005,0.20378478648480558
36668,87818,0.19606959042763455
36668,59981,0.19525441139613994
62211,585,0.47425200683433555
62211,10193,0.34236839400873037
62211,9487,0.33586083136977984
62211,863,0.32700764772531515
62211,862,0.32507713972384644
62211,11519,0.2806804457119199
62211,13053,0.2679456508228335
62211,10681,0.26569371377681855
62211,12,0.2611516061993501
62211,920,0.24106302110709238
8373,38356,0.6527912098338672
8373,1858,0.5454545454545453
8373,91314,0.505780538858873
8373,1635,0.38276590791205556
8373,134374,0.31665024819056176
8373,116149,0.2666982304552209
8373,9802,0.25958499574503335
8373,95,0.2551473183931294
8373,10167,0.24393468845452254
8373,30379,0.24174688920761409
91314,8373,0.505780538858873
91314,38356,0.4622367258209527
91314,1635,0.3668126156726501
91314,1858,0.34485036740377706
91314,134374,0.3416651374071856
91314,95,0.25809709637054695
91314,10167,0.24675483634579948
