movie_id,closest_movie_ids,similarity_scores
10681,"[91314, 644, 296, 1649, 5137, 1858, 9570, 8373, 38356, 39254]","[0.5757473707199097, 0.5644828081130981, 0.5424480438232422, 0.541515588760376, 0.5395702123641968, 0.539406955242157, 0.5254275798797607, 0.5233274102210999, 0.5192337036132812, 0.5179625749588013]"
5174,"[5175, 2140, 11702, 4550, 10623, 13937, 10674, 44092, 5503, 15268]","[0.5991894602775574, 0.584686815738678, 0.5236867666244507, 0.461423397064209, 0.4374576807022095, 0.4362224340438843, 0.4307345151901245, 0.42783042788505554, 0.425944447517395, 0.4246423840522766]"
14161,"[9341, 335244, 49047, 95, 11470, 10200, 8656, 4858, 1272, 82700]","[0.598802924156189, 0.5120367407798767, 0.5090429782867432, 0.5002318620681763, 0.49950969219207764, 0.47744739055633545, 0.4738893508911133, 0.46492844820022583, 0.46445053815841675, 0.45948097109794617]"
17979,"[10437, 9647, 8871, 11395, 1954, 29339, 13187, 10719, 2008, 20296]","[0.6359754800796509, 0.4985554814338684, 0.4954291880130768, 0.48253127932548523, 0.431330144405365, 0.4297955632209778, 0.42899036407470703, 0.42688319087028503, 0.42432722449302673, 0.4240347146987915]"
76757,"[49530, 39781, 9954, 1579, 16353, 10179, 2057, 52462, 76617, 9092]","[0.40823084115982056, 0.3557031750679016, 0.33383017778396606, 0.33288195729255676, 0.3322017192840576, 0.3291141986846924, 0.3229829668998718, 0.3227345943450928, 0.32078975439071655, 0.3204527795314789]"
258489,"[14873, 192134, 7515, 13197, 8988, 747, 142, 11358, 7518, 18276]","[0.4090561270713806, 0.3972877264022827, 0.39270004630088806, 0.3742719292640686, 0.3665706515312195, 0.3637613356113434, 0.36231085658073425, 0.35838061571121216, 0.35245078802108765, 0.3504784107208252]"
411,"[2454, 9760, 10140, 109445, 630, 266647, 58595, 848, 12437, 62764]","[0.708849310874939, 0.6441076993942261, 0.5456939339637756, 0.5446997880935669, 0.5344865918159485, 0.5301935076713562, 0.4946349263191223, 0.4918546676635742, 0.47752177715301514, 0.47305914759635925]"
246655,"[36658, 2080, 127585, 1924, 11411, 2789, 36657, 106747, 99861, 36668]","[0.5285293459892273, 0.5070586800575256, 0.4974669814109802, 0.46507903933525085, 0.46011972427368164, 0.4518800377845764, 0.4466434717178345, 0.43901947140693665, 0.43900954723358154, 0.437949538230896]"
155,"[414, 49026, 268, 364, 272, 142061, 209112, 415, 8536, 11411]","[0.7626636028289795, 0.7273128032684326, 0.6990641951560974, 0.6684340238571167, 0.659884512424469, 0.6226719617843628, 0.6093262434005737, 0.550470769405365, 0.5350476503372192, 0.4883655905723572]"
14160,"[78, 154, 268171, 64682, 58224, 301351, 4244, 1360, 10014, 3682]","[0.4691498875617981, 0.4684433341026306, 0.4627980589866638, 0.4515843391418457, 0.4512217342853546, 0.4472495913505554, 0.43930935859680176, 0.4308893084526062, 0.4249710440635681, 0.42368605732917786]"
15512,"[12120, 928, 10208, 6435, 8814, 16988, 27588, 314, 77931, 5137]","[0.48783838748931885, 0.4794138967990875, 0.4750545918941498, 0.47338274121284485, 0.46262630820274353, 0.4571671783924103, 0.45298299193382263, 0.45189130306243896, 0.45093899965286255, 0.44646841287612915]"
1726,"[10138, 68721, 99861, 241766, 10623, 8854, 658, 11411, 11253, 9531]","[0.4387698173522949, 0.42442941665649414, 0.4175858497619629, 0.41225022077560425, 0.3968964219093323, 0.3949315845966339, 0.3901752829551697, 0.38724303245544434, 0.38650625944137573, 0.37764352560043335]"
44826,"[10656, 23330, 24748, 289180, 40001, 802, 252360, 70829, 166624, 39141]","[0.46379509568214417, 0.45646822452545166, 0.44177931547164917, 0.43241775035858154, 0.40679651498794556, 0.40084022283554077, 0.39789968729019165, 0.3908007740974426, 0.38700729608535767, 0.3789108097553253]"
8487,"[8854, 10138, 14854, 6073, 86304, 6520, 28260, 98549, 5780, 106747]","[0.43784329295158386, 0.4367848336696625, 0.42796891927719116, 0.4254898428916931, 0.42401397228240967, 0.41754093766212463, 0.4049956202507019, 0.40258318185806274, 0.40214788913726807, 0.400920033454895]"
1735,"[8840, 1494, 6278, 300168, 848, 82700, 1734, 10191, 188207, 810]","[0.5017739534378052, 0.49998486042022705, 0.4888082444667816, 0.48704618215560913, 0.4817391037940979, 0.4750652313232422, 0.4708271920681, 0.46575573086738586, 0.4657441973686218, 0.46199679374694824]"
297761,"[100402, 29015, 209112, 271110, 142061, 250902, 293660, 155, 36657, 272]","[0.5062147974967957, 0.485872745513916, 0.48527348041534424, 0.47641119360923767, 0.4705253839492798, 0.4672574996948242, 0.4641934633255005, 0.46194684505462646, 0.45017939805984497, 0.44587475061416626]"
2698,"[14161, 11873, 308531, 205321, 11804, 10357, 15875, 284, 142061, 86834]","[0.3632980287075043, 0.3418915569782257, 0.3309573829174042, 0.3090646266937256, 0.30673763155937195, 0.30557456612586975, 0.3025987446308136, 0.30223679542541504, 0.30116671323776245, 0.29984956979751587]"
137113,"[146631, 10999, 7451, 1685, 9383, 10208, 87421, 440, 1724, 41154]","[0.4895349144935608, 0.4786333441734314, 0.4676113724708557, 0.4635296165943146, 0.4505901336669922, 0.4401731789112091, 0.4376389980316162, 0.43460097908973694, 0.4317414164543152, 0.43157070875167847]"
9804,"[57800, 950, 5689, 10140, 16320, 17578, 22787, 16016, 335244, 6068]","[0.5593748092651367, 0.5329029560089111, 0.5110788345336914, 0.481240451335907, 0.47688937187194824, 0.47558844089508057, 0.4741804003715515, 0.47046583890914917, 0.46564504504203796, 0.4646608829498291]"
14869,"[72559, 75674, 203801, 308531, 9488, 19585, 1497, 818, 9360, 563]","[0.5015595555305481, 0.4663097560405731, 0.4464525580406189, 0.44222450256347656, 0.4396308958530426, 0.42889440059661865, 0.4174298048019409, 0.41601860523223877, 0.41446223855018616, 0.4114419221878052]"
150540,"[47889, 1586, 14256, 31007, 14165, 75861, 49022, 125123, 7341, 43610]","[0.45215877890586853, 0.43164485692977905, 0.4299857020378113, 0.428895503282547, 0.4261443316936493, 0.42500990629196167, 0.4195129871368408, 0.4193837344646454, 0.41569000482559204, 0.41464224457740784]"
278927,"[9502, 87827, 14873, 172391, 869, 283671, 425, 8982, 953, 308531]","[0.49020326137542725, 0.4846647381782532, 0.4629477858543396, 0.45242905616760254, 0.43693166971206665, 0.43423157930374146, 0.42307281494140625, 0.42121243476867676, 0.4194473326206207, 0.40787166357040405]"
10138,"[271110, 99861, 9531, 308531, 11411, 1771, 100402, 1726, 8487, 10195]","[0.5273149013519287, 0.49851521849632263, 0.49699991941452026, 0.49029263854026794, 0.48709434270858765, 0.4828130602836609, 0.4589942395687103, 0.4387698173522949, 0.4367848336696625, 0.4306384325027466]"
58595,"[408, 62764, 164372, 810, 848, 2008, 6038, 109445, 6278, 290595]","[0.7202277183532715, 0.6675071716308594, 0.5748564600944519, 0.5688174962997437, 0.5602821111679077, 0.516997218132019, 0.5163033604621887, 0.5154587030410767, 0.5142274498939514, 0.5056074857711792]"
102651,"[62177, 81005, 2008, 12155, 75861, 59981, 109445, 188207, 20542, 630]","[0.5501633286476135, 0.5350046157836914, 0.5330738425254822, 0.528193473815918, 0.51395183801651, 0.5127867460250854, 0.5087928771972656, 0.504707396030426, 0.48658323287963867, 0.48201942443847656]"
119450,"[1705, 42684, 238636, 299687, 20504, 70981, 29426, 7450, 9562, 22894]","[0.5101640224456787, 0.4431809186935425, 0.4377055764198303, 0.4230556786060333, 0.42109882831573486, 0.4110249876976013, 0.4095638394355774, 0.4089491367340088, 0.4066694974899292, 0.4059242606163025]"
79698,"[15927, 32222, 1722, 4251, 132316, 1439, 2577, 46889, 480, 20653]","[0.601871132850647, 0.585574746131897, 0.5607664585113525, 0.5524408221244812, 0.5364319086074829, 0.5111460089683533, 0.5091846585273743, 0.4978490173816681, 0.4906426668167114, 0.4866582155227661]"
64686,"[9387, 22832, 149, 68726, 327, 82700, 9312, 48340, 11891, 201]","[0.4926464557647705, 0.47975388169288635, 0.47225451469421387, 0.45157957077026367, 0.44787830114364624, 0.4441087245941162, 0.4433855414390564, 0.44011354446411133, 0.4357607960700989, 0.42288491129875183]"
100402,"[1771, 99861, 9531, 271110, 297761, 11411, 9424, 9824, 5137, 54138]","[0.5706396102905273, 0.5407149195671082, 0.5213334560394287, 0.5079558491706848, 0.5062147974967957, 0.5033797025680542, 0.4921455979347229, 0.49168387055397034, 0.4824516475200653, 0.4770405888557434]"
10192,"[810, 809, 10545, 10199, 109445, 5966, 20662, 812, 417859, 38757]","[0.6721503138542175, 0.616923451423645, 0.4737238883972168, 0.47183579206466675, 0.4667654037475586, 0.4636392295360565, 0.4591788649559021, 0.4572927951812744, 0.45400696992874146, 0.44986575841903687]"
158852,"[11495, 10136, 198663, 57876, 46529, 227719, 861, 2270, 16577, 66942]","[0.5021083950996399, 0.4861934781074524, 0.47589683532714844, 0.46627378463745117, 0.4571808874607086, 0.441453754901886, 0.4383658766746521, 0.4313626289367676, 0.43036216497421265, 0.4206036329269409]"
177572,"[29015, 12634, 146631, 39254, 534, 1649, 9824, 13920, 11665, 1858]","[0.4146909713745117, 0.37995749711990356, 0.3700725734233856, 0.36758625507354736, 0.3553798794746399, 0.3513062298297882, 0.3470507860183716, 0.3462533950805664, 0.3460102677345276, 0.3416655957698822]"
82690,"[10955, 87421, 109451, 80215, 10288, 20694, 25248, 5966, 13056, 10366]","[0.4825926721096039, 0.4482685327529907, 0.4212596118450165, 0.4192487895488739, 0.4116661548614502, 0.4068714380264282, 0.4029049873352051, 0.3958824574947357, 0.3929736912250519, 0.392762154340744]"
5255,"[49521, 2270, 83860, 59965, 2057, 71805, 10719, 10534, 228326, 9741]","[0.4777436852455139, 0.4692460000514984, 0.4479956328868866, 0.4383121430873871, 0.4308003783226013, 0.42952677607536316, 0.4273828864097595, 0.42664992809295654, 0.4248523712158203, 0.42260462045669556]"
47933,"[168, 679, 61984, 43933, 91314, 146631, 11260, 11935, 70981, 11954]","[0.5513824820518494, 0.4981608986854553, 0.49648556113243103, 0.4890747666358948, 0.48445743322372437, 0.47803667187690735, 0.4765850305557251, 0.47193238139152527, 0.4692155718803406, 0.4656650722026825]"
10191,"[82702, 8840, 34584, 848, 6278, 57165, 10800, 257932, 49017, 10195]","[0.6004895567893982, 0.58528733253479, 0.5525627732276917, 0.5429909229278564, 0.5297651290893555, 0.5293998718261719, 0.5199306607246399, 0.5046209096908569, 0.49358490109443665, 0.492694616317749]"
296,"[534, 87101, 10681, 280, 5137, 1649, 218, 39254, 97020, 91314]","[0.5742963552474976, 0.5587016940116882, 0.5424480438232422, 0.5388017296791077, 0.46533066034317017, 0.46123528480529785, 0.45002394914627075, 0.4445931911468506, 0.4413720667362213, 0.43961673974990845]"
118340,"[266647, 39513, 1930, 290555, 2789, 679, 64685, 2157, 14160, 11780]","[0.40946799516677856, 0.40240687131881714, 0.40216541290283203, 0.4006272554397583, 0.39231055974960327, 0.3874915838241577, 0.3862879276275635, 0.3705146312713623, 0.37019747495651245, 0.367454469203949]"
157336,"[11260, 70981, 926, 11954, 168, 188927, 43933, 199, 68179, 16016]","[0.5749086141586304, 0.5703873038291931, 0.569532036781311, 0.5348199009895325, 0.5346394777297974, 0.5310906171798706, 0.5206794142723083, 0.5102341771125793, 0.49719730019569397, 0.49257370829582214]"
